D=3;
n=[4 5 4];
N=50;
d=[2 1 2 3 3 2 1 3 2 2 1 3 1 3 3 2 1 3 2 2 2 1 2 2 1 3 3 2 1 3 3 1 1 2 2 1 2 2 2 3 3 1 2 1 1 3 3 3 2 1];
m = [
  [1.00 0.93 0.15 0.32 0.22 0.54 0.80 0.44 0.85 0.37 0.98 0.15 0.46 0.18 0.61 0.35 0.66 0.78 0.80 0.15 0.53 0.66 0.65 0.91 0.56 0.93 0.17 0.80 0.65 0.67 0.06 0.77 0.16 0.33 0.50 1.00 0.41 0.67 0.76 0.06 0.61 0.12 0.93 0.98 0.28 0.75 0.76 0.26 0.65 0.42]
  [0.93 1.00 0.10 0.50 0.62 0.70 0.39 0.86 0.48 0.71 0.24 0.63 0.18 0.50 0.28 0.84 0.39 0.59 0.35 1.00 0.57 0.93 0.95 0.18 0.59 0.55 0.96 0.31 0.57 0.78 0.25 0.77 0.20 0.57 0.04 0.92 0.63 0.50 0.32 0.30 0.61 0.65 0.39 0.28 0.39 0.54 0.01 0.52 0.32 0.79]
  [0.15 0.10 1.00 0.37 0.86 0.26 0.13 0.10 0.50 0.26 0.48 0.32 0.91 0.90 0.33 0.12 0.77 0.99 0.03 0.97 0.38 0.73 0.67 0.92 0.90 0.20 0.65 0.05 0.72 0.30 0.09 0.08 0.20 0.09 0.05 0.17 0.49 0.01 0.26 0.38 0.05 0.91 0.77 0.77 0.03 0.83 0.49 0.62 1.00 0.77]
  [0.32 0.50 0.37 1.00 0.52 0.70 0.04 0.70 0.67 0.07 0.45 0.51 0.27 0.57 0.32 0.75 0.08 0.53 0.17 0.62 0.36 0.86 0.59 0.32 0.79 0.64 0.68 0.46 0.01 0.11 0.04 0.18 0.37 0.04 0.09 0.21 0.95 0.68 0.66 0.22 0.44 0.43 0.71 0.72 0.12 0.15 0.12 0.18 0.64 0.16]
  [0.22 0.62 0.86 0.52 1.00 0.45 0.27 0.46 0.65 0.63 0.74 0.88 0.65 0.49 0.09 0.52 0.22 0.41 0.14 0.00 0.85 0.09 0.81 0.19 0.68 0.27 0.49 0.92 0.96 0.35 0.66 0.01 0.08 0.16 0.48 0.22 0.53 0.54 0.13 0.82 0.59 0.23 0.46 0.39 0.68 0.70 0.27 0.99 0.66 0.90]
  [0.54 0.70 0.26 0.70 0.45 1.00 0.74 0.10 0.06 0.72 0.69 0.76 0.33 0.77 0.04 0.39 0.91 0.59 0.15 0.50 0.35 0.40 0.18 0.04 0.46 0.73 0.92 0.67 0.29 0.33 0.21 0.14 0.61 0.17 0.06 0.37 0.90 0.19 0.35 0.13 0.56 0.40 0.76 0.55 0.10 0.62 0.86 0.99 0.83 0.47]
  [0.80 0.39 0.13 0.04 0.27 0.74 1.00 0.43 0.51 0.81 0.58 0.79 0.37 0.14 0.20 0.09 0.04 0.33 0.37 0.52 0.85 0.91 0.50 0.19 0.80 0.32 0.69 0.14 0.48 0.12 0.72 0.32 0.69 0.58 0.57 0.59 0.06 0.09 0.08 0.18 0.92 0.46 0.25 0.98 0.79 0.71 0.62 0.20 0.26 0.28]
  [0.44 0.86 0.10 0.70 0.46 0.10 0.43 1.00 0.19 0.57 0.06 0.16 0.62 0.88 0.35 0.74 0.26 0.63 0.80 0.97 0.39 0.13 0.80 0.99 0.89 0.26 0.02 0.36 0.55 0.68 0.97 0.43 0.61 0.63 0.47 0.44 0.37 0.75 0.39 0.75 0.87 0.68 0.22 0.28 0.78 0.64 0.43 0.32 0.36 0.45]
  [0.85 0.48 0.50 0.67 0.65 0.06 0.51 0.19 1.00 0.57 0.19 0.89 0.12 0.99 0.78 0.81 0.08 0.41 0.65 0.98 0.11 0.01 0.54 0.30 0.51 0.68 0.37 0.68 0.80 0.45 0.87 0.16 0.30 0.18 0.86 0.37 0.53 0.90 0.10 0.82 0.01 0.55 0.73 0.40 0.85 0.02 0.72 0.47 0.03 0.57]
  [0.37 0.71 0.26 0.07 0.63 0.72 0.81 0.57 0.57 1.00 0.02 0.04 0.87 0.83 0.19 0.85 0.96 0.27 0.90 0.83 0.83 0.19 0.65 0.60 0.65 0.81 0.69 0.82 0.09 0.51 0.09 0.56 0.81 0.69 0.20 0.43 0.83 0.98 0.37 0.19 0.91 0.50 0.14 0.43 0.72 0.82 0.64 0.26 0.36 0.51]
  [0.98 0.24 0.48 0.45 0.74 0.69 0.58 0.06 0.19 0.02 1.00 0.60 0.99 0.77 0.96 0.24 0.56 0.35 0.90 0.02 0.91 0.06 0.33 0.15 0.79 0.12 0.62 0.65 0.82 0.08 0.79 0.70 0.54 0.28 0.84 0.88 0.53 0.01 0.12 0.71 0.27 0.67 0.05 0.89 0.19 0.01 0.06 0.50 0.55 0.67]
  [0.15 0.63 0.32 0.51 0.88 0.76 0.79 0.16 0.89 0.04 0.60 1.00 0.33 0.40 0.61 0.74 0.92 0.67 0.22 0.04 0.33 0.43 0.70 0.57 0.65 0.53 0.34 0.52 0.36 0.76 0.61 0.55 0.42 0.24 0.10 0.14 0.59 0.78 0.41 0.73 0.85 0.41 0.09 0.84 0.21 0.37 0.51 0.60 0.59 0.27]
  [0.46 0.18 0.91 0.27 0.65 0.33 0.37 0.62 0.12 0.87 0.99 0.33 1.00 0.70 0.12 0.57 0.43 0.68 0.96 0.05 0.17 0.08 0.35 0.20 0.67 0.37 0.32 0.25 0.96 0.92 0.70 0.24 0.58 0.90 0.88 0.25 0.81 0.71 0.45 0.58 0.69 0.87 0.26 0.28 0.31 0.64 0.24 0.89 0.65 0.94]
  [0.18 0.50 0.90 0.57 0.49 0.77 0.14 0.88 0.99 0.83 0.77 0.40 0.70 1.00 0.78 0.59 0.74 0.27 0.13 0.86 0.67 0.38 0.44 0.26 0.53 0.35 0.57 0.15 0.10 0.14 0.14 0.44 0.03 0.04 0.06 0.31 0.27 0.90 0.44 0.56 0.53 0.01 0.85 0.00 0.08 0.34 0.69 0.11 0.03 0.31]
  [0.61 0.28 0.33 0.32 0.09 0.04 0.20 0.35 0.78 0.19 0.96 0.61 0.12 0.78 1.00 0.76 0.92 0.29 0.36 0.05 0.18 0.19 0.44 0.84 0.07 0.72 0.56 0.69 0.83 0.78 0.86 0.76 0.45 0.40 0.01 0.21 0.89 0.89 0.95 0.62 0.12 0.36 0.06 0.56 0.03 0.54 0.34 0.67 0.97 0.21]
  [0.35 0.84 0.12 0.75 0.52 0.39 0.09 0.74 0.81 0.85 0.24 0.74 0.57 0.59 0.76 1.00 0.07 0.95 0.23 0.30 0.87 0.08 0.08 0.60 0.76 0.02 0.74 0.75 0.44 0.60 0.66 0.42 0.90 0.87 0.42 0.87 0.43 0.31 0.03 0.25 0.50 0.35 0.51 0.66 0.38 0.61 0.26 0.43 0.85 0.52]
  [0.66 0.39 0.77 0.08 0.22 0.91 0.04 0.26 0.08 0.96 0.56 0.92 0.43 0.74 0.92 0.07 1.00 0.69 0.84 0.22 0.41 0.27 0.64 0.34 0.28 0.78 0.77 0.80 0.57 0.52 0.79 0.42 0.20 0.17 0.25 0.60 0.50 0.62 0.70 0.33 0.08 0.99 0.53 0.55 0.36 0.28 0.57 0.41 0.32 0.39]
  [0.78 0.59 0.99 0.53 0.41 0.59 0.33 0.63 0.41 0.27 0.35 0.67 0.68 0.27 0.29 0.95 0.69 1.00 0.20 0.97 0.98 0.84 0.86 0.72 0.24 0.73 0.85 0.09 0.69 0.99 0.03 0.65 0.75 0.04 0.76 0.27 0.84 0.09 0.65 0.92 0.42 0.99 0.47 0.04 0.27 0.96 0.26 0.19 0.18 0.58]
  [0.80 0.35 0.03 0.17 0.14 0.15 0.37 0.80 0.65 0.90 0.90 0.22 0.96 0.13 0.36 0.23 0.84 0.20 1.00 0.28 0.79 0.62 0.02 0.66 0.46 0.82 0.09 0.13 0.14 0.74 0.48 0.43 0.52 0.88 0.66 0.53 0.74 0.18 1.00 0.04 0.92 0.59 0.09 0.77 0.07 0.41 0.36 0.64 0.05 0.04]
