D=2;
n=[1 5];
N=10;
d=[1 2 2 2 2 2 2 2 1 1];
m = [
  [1.00 0.75 0.78 0.86 0.51 0.07 0.99 0.81 0.10 0.05]
  [0.75 1.00 0.82 0.49 0.75 0.44 0.82 0.90 0.60 0.28]
  [0.78 0.82 1.00 0.82 0.93 0.77 0.85 0.67 0.64 0.53]
  [0.86 0.49 0.82 1.00 0.25 0.63 0.85 0.57 0.55 0.41]
  [0.51 0.75 0.93 0.25 1.00 0.56 0.98 0.69 0.91 0.04]
  [0.07 0.44 0.77 0.63 0.56 1.00 0.74 0.07 0.95 0.01]
  [0.99 0.82 0.85 0.85 0.98 0.74 1.00 0.09 0.41 0.96]
  [0.81 0.90 0.67 0.57 0.69 0.07 0.09 1.00 0.43 0.07]
  [0.10 0.60 0.64 0.55 0.91 0.95 0.41 0.43 1.00 0.53]
  [0.05 0.28 0.53 0.41 0.04 0.01 0.96 0.07 0.53 1.00]
];
