D=5;
n=[1 1 1 4 2];
N=20;
d=[2 1 4 2 1 4 4 2 1 4 3 4 3 1 4 4 5 4 5 5];
m = [
  [1.00 0.31 0.94 0.99 0.28 0.60 0.69 0.49 0.95 0.90 0.75 0.06 0.08 0.12 0.50 0.62 0.75 0.08 0.62 0.73]
  [0.31 1.00 0.75 0.91 0.87 0.15 0.38 0.54 0.71 0.15 0.55 0.23 0.76 0.15 0.59 0.48 0.64 0.12 0.72 0.28]
  [0.94 0.75 1.00 0.77 0.21 0.64 0.36 0.53 0.77 0.21 0.33 1.00 0.61 0.05 0.89 0.79 0.58 0.30 0.98 0.56]
  [0.99 0.91 0.77 1.00 0.33 0.13 0.88 0.15 0.80 0.26 0.72 0.63 0.45 0.71 0.08 0.51 0.98 0.11 0.67 0.25]
  [0.28 0.87 0.21 0.33 1.00 0.10 0.53 0.49 0.38 0.82 0.75 0.00 0.11 0.04 0.16 0.82 0.82 0.04 0.66 0.67]
  [0.60 0.15 0.64 0.13 0.10 1.00 0.64 0.25 0.40 0.22 0.19 0.50 0.89 0.92 0.58 1.00 0.49 0.55 0.52 0.54]
  [0.69 0.38 0.36 0.88 0.53 0.64 1.00 0.30 0.79 0.62 0.84 0.67 0.17 0.87 0.20 0.15 0.25 0.63 0.33 0.33]
  [0.49 0.54 0.53 0.15 0.49 0.25 0.30 1.00 0.89 0.66 0.79 0.45 0.86 0.71 0.27 0.29 0.46 0.63 0.16 0.62]
  [0.95 0.71 0.77 0.80 0.38 0.40 0.79 0.89 1.00 1.00 0.98 0.87 0.84 0.04 0.51 0.84 0.38 0.57 0.04 0.80]
  [0.90 0.15 0.21 0.26 0.82 0.22 0.62 0.66 1.00 1.00 0.52 0.54 0.55 0.78 0.94 0.57 0.38 0.19 0.09 0.78]
  [0.75 0.55 0.33 0.72 0.75 0.19 0.84 0.79 0.98 0.52 1.00 0.18 0.07 0.35 0.72 0.32 0.76 0.79 0.15 0.99]
  [0.06 0.23 1.00 0.63 0.00 0.50 0.67 0.45 0.87 0.54 0.18 1.00 0.06 0.55 0.84 0.82 0.33 0.22 0.38 0.70]
  [0.08 0.76 0.61 0.45 0.11 0.89 0.17 0.86 0.84 0.55 0.07 0.06 1.00 0.49 0.10 0.31 0.41 0.39 0.43 0.60]
  [0.12 0.15 0.05 0.71 0.04 0.92 0.87 0.71 0.04 0.78 0.35 0.55 0.49 1.00 0.85 0.86 0.13 0.95 0.50 0.13]
  [0.50 0.59 0.89 0.08 0.16 0.58 0.20 0.27 0.51 0.94 0.72 0.84 0.10 0.85 1.00 0.66 0.92 0.77 0.58 0.69]
  [0.62 0.48 0.79 0.51 0.82 1.00 0.15 0.29 0.84 0.57 0.32 0.82 0.31 0.86 0.66 1.00 0.89 0.78 0.25 0.49]
  [0.75 0.64 0.58 0.98 0.82 0.49 0.25 0.46 0.38 0.38 0.76 0.33 0.41 0.13 0.92 0.89 1.00 0.10 0.58 0.54]
  [0.08 0.12 0.30 0.11 0.04 0.55 0.63 0.63 0.57 0.19 0.79 0.22 0.39 0.95 0.77 0.78 0.10 1.00 0.44 0.30]
  [0.62 0.72 0.98 0.67 0.66 0.52 0.33 0.16 0.04 0.09 0.15 0.38 0.43 0.50 0.58 0.25 0.58 0.44 1.00 0.54]
  [0.73 0.28 0.56 0.25 0.67 0.54 0.33 0.62 0.80 0.78 0.99 0.70 0.60 0.13 0.69 0.49 0.54 0.30 0.54 1.00]
];
