D=4;
n=[2 6 1 9];
N=50;
d=[2 2 2 1 2 3 4 3 2 2 4 3 1 2 4 4 1 4 3 4 1 2 3 1 1 2 4 3 4 4 2 2 4 1 1 3 4 4 4 1 3 2 3 4 2 1 4 2 4 4];
m = [
  [1.00 0.97 0.22 0.44 0.81 0.46 0.34 0.76 0.73 0.99 0.40 1.00 0.37 0.49 0.41 0.28 0.57 0.96 0.20 0.43 0.73 0.19 0.72 0.92 0.82 0.63 0.90 0.43 0.22 0.24 0.61 0.45 0.69 0.90 0.72 0.24 0.38 0.73 0.63 0.48 0.93 0.39 0.28 0.56 0.13 0.22 0.09 0.11 0.89 0.30]
  [0.97 1.00 0.33 0.61 0.19 1.00 0.61 0.38 0.64 0.95 0.58 0.59 0.96 0.11 0.23 0.04 0.50 0.23 0.61 0.66 0.04 0.12 0.21 0.25 0.59 0.77 0.95 0.16 0.36 0.07 0.67 0.56 0.31 0.75 0.02 0.40 0.63 0.53 0.40 0.41 0.22 0.52 0.25 0.04 0.50 0.57 0.33 0.97 0.99 0.67]
  [0.22 0.33 1.00 0.57 0.33 0.54 0.71 0.16 0.63 0.13 0.35 0.86 0.66 0.16 0.48 0.17 0.48 0.69 0.19 0.65 0.07 1.00 0.64 0.76 0.48 0.96 0.79 0.48 0.44 0.12 0.13 0.85 0.77 0.40 0.28 0.49 0.70 0.53 0.71 0.10 0.95 0.92 0.58 0.82 0.30 0.54 0.79 0.49 0.27 0.81]
  [0.44 0.61 0.57 1.00 0.22 0.42 0.14 0.54 0.84 0.61 0.81 0.28 0.09 0.87 0.12 0.64 0.68 0.10 0.68 0.01 0.69 0.23 0.58 0.63 0.86 0.97 0.27 0.32 0.71 0.51 0.44 0.52 0.58 0.50 0.89 0.63 0.33 0.46 0.96 0.23 0.02 0.05 0.23 0.22 0.57 0.56 0.66 0.82 0.73 0.60]
  [0.81 0.19 0.33 0.22 1.00 0.54 0.29 0.16 0.46 0.59 0.83 0.23 0.85 0.15 0.16 0.44 0.37 0.87 0.80 0.47 0.21 0.80 0.71 0.32 0.21 0.85 0.09 0.26 0.82 0.25 0.34 0.10 0.08 0.08 0.61 0.46 0.58 0.57 0.12 0.94 0.50 0.10 0.59 0.83 0.24 0.38 0.31 0.40 0.99 0.33]
  [0.46 1.00 0.54 0.42 0.54 1.00 0.21 0.07 0.97 0.48 0.51 0.90 0.44 0.49 0.45 0.59 0.47 0.10 0.44 0.93 0.71 0.44 0.49 0.88 0.54 0.02 0.23 0.52 0.01 0.57 0.59 0.43 0.60 0.23 0.34 0.76 0.75 0.83 0.44 0.31 0.39 0.21 0.74 0.71 0.99 0.52 0.13 0.51 0.96 0.20]
  [0.34 0.61 0.71 0.14 0.29 0.21 1.00 0.49 0.03 0.97 0.88 0.74 0.23 0.90 0.72 0.17 0.83 0.65 0.09 0.26 0.60 0.93 0.39 0.94 0.63 0.97 0.56 0.58 0.83 0.76 0.71 0.50 0.51 0.78 0.37 0.40 0.20 0.44 0.49 0.44 0.82 0.92 0.70 0.71 0.56 0.72 0.24 0.16 0.02 0.37]
  [0.76 0.38 0.16 0.54 0.16 0.07 0.49 1.00 0.35 0.64 0.16 0.01 0.81 0.97 0.98 0.95 0.42 0.67 0.75 0.64 0.87 0.56 0.30 0.71 0.91 0.46 0.29 0.70 0.13 0.56 0.66 0.89 0.31 0.80 0.88 0.38 0.37 0.32 0.05 0.84 0.06 0.78 0.17 0.54 0.33 0.89 0.82 0.01 0.07 0.42]
  [0.73 0.64 0.63 0.84 0.46 0.97 0.03 0.35 1.00 0.64 0.63 0.28 0.04 0.37 0.28 0.49 0.29 0.00 0.05 0.19 0.18 0.61 0.66 0.90 0.32 0.71 0.46 0.45 0.94 0.99 0.42 0.57 0.30 0.37 0.95 0.51 0.89 0.27 0.79 0.41 0.69 0.26 0.62 0.83 0.03 0.38 0.25 0.76 0.88 0.60]
  [0.99 0.95 0.13 0.61 0.59 0.48 0.97 0.64 0.64 1.00 0.79 0.94 0.63 0.83 0.83 0.25 0.39 0.97 0.62 0.17 0.73 0.63 0.71 0.18 0.27 0.42 0.31 0.54 0.95 0.37 0.10 0.06 0.53 0.76 0.07 0.45 0.99 0.60 0.47 0.05 0.47 0.72 0.98 0.02 0.08 0.80 0.35 0.04 0.95 0.72]
  [0.40 0.58 0.35 0.81 0.83 0.51 0.88 0.16 0.63 0.79 1.00 0.08 0.08 0.93 0.68 0.95 0.87 0.71 0.42 0.94 0.54 0.20 0.25 0.97 0.65 0.76 0.52 0.85 0.85 0.65 0.03 0.95 0.93 0.91 0.66 0.03 0.11 0.40 0.49 0.95 0.16 0.38 0.49 0.12 0.40 0.35 0.84 0.10 0.58 0.39]
  [1.00 0.59 0.86 0.28 0.23 0.90 0.74 0.01 0.28 0.94 0.08 1.00 0.29 0.54 0.49 0.87 0.67 0.39 0.82 0.50 0.19 0.09 0.22 0.16 0.22 0.95 0.43 0.49 0.60 0.46 0.53 0.14 0.76 0.53 0.93 0.77 0.14 0.60 0.60 0.26 0.78 0.07 0.10 0.30 0.92 0.36 0.04 0.69 0.50 0.28]
  [0.37 0.96 0.66 0.09 0.85 0.44 0.23 0.81 0.04 0.63 0.08 0.29 1.00 0.33 0.14 0.00 0.99 1.00 0.99 1.00 0.32 0.82 0.25 0.13 0.30 0.35 0.17 0.10 0.09 0.22 0.72 0.22 0.11 0.18 0.35 0.03 0.67 0.50 0.76 0.08 0.64 0.77 0.36 0.02 0.55 0.90 0.64 0.41 0.01 0.97]
  [0.49 0.11 0.16 0.87 0.15 0.49 0.90 0.97 0.37 0.83 0.93 0.54 0.33 1.00 0.35 0.21 0.37 0.23 0.56 0.61 0.80 0.78 0.82 0.31 0.66 0.39 0.84 0.32 0.08 0.85 0.40 0.22 0.37 0.90 0.96 0.66 0.83 0.38 0.72 0.92 0.94 0.61 0.79 0.50 0.31 0.82 0.13 0.71 0.70 0.02]
  [0.41 0.23 0.48 0.12 0.16 0.45 0.72 0.98 0.28 0.83 0.68 0.49 0.14 0.35 1.00 0.73 0.38 0.89 0.77 0.76 0.62 0.19 0.24 0.38 0.39 0.37 0.67 0.03 0.16 0.35 0.83 0.79 0.98 0.73 0.98 0.68 0.51 0.71 0.93 0.85 0.95 0.30 0.10 0.86 0.76 0.06 0.80 0.01 0.03 0.12]
  [0.28 0.04 0.17 0.64 0.44 0.59 0.17 0.95 0.49 0.25 0.95 0.87 0.00 0.21 0.73 1.00 0.51 0.15 0.05 0.12 0.11 0.90 0.49 0.40 0.98 0.07 0.14 0.48 0.39 0.75 0.66 0.53 0.23 0.38 0.46 0.42 0.62 0.83 0.99 0.39 0.40 0.99 0.21 0.57 0.00 0.22 0.74 0.67 0.36 0.63]
  [0.57 0.50 0.48 0.68 0.37 0.47 0.83 0.42 0.29 0.39 0.87 0.67 0.99 0.37 0.38 0.51 1.00 0.93 0.38 0.90 0.30 0.89 0.31 0.24 0.93 0.18 0.34 0.65 0.46 0.40 0.58 0.22 0.76 0.73 0.20 0.26 0.33 0.27 0.56 0.70 0.37 0.75 0.88 0.56 0.07 0.02 0.25 0.02 0.85 0.55]
  [0.96 0.23 0.69 0.10 0.87 0.10 0.65 0.67 0.00 0.97 0.71 0.39 1.00 0.23 0.89 0.15 0.93 1.00 0.78 0.23 0.64 0.76 0.24 0.46 0.09 0.55 0.86 0.84 0.86 0.52 0.62 0.05 0.23 0.73 0.29 0.98 0.72 0.02 0.67 0.64 0.51 0.56 0.10 0.89 0.47 0.73 0.09 0.78 0.17 0.60]
  [0.20 0.61 0.19 0.68 0.80 0.44 0.09 0.75 0.05 0.62 0.42 0.82 0.99 0.56 0.77 0.05 0.38 0.78 1.00 0.50 0.57 0.81 0.14 0.51 0.93 0.75 0.13 0.03 0.83 0.55 0.16 0.27 0.96 0.72 0.03 0.55 0.96 0.05 0.15 0.83 0.23 0.03 0.22 0.24 0.69 0.99 0.04 0.43 0.76 0.70]
  [0.43 0.66 0.65 0.01 0.47 0.93 0.26 0.64 0.19 0.17 0.94 0.50 1.00 0.61 0.76 0.12 0.90 0.23 0.50 1.00 0.63 0.14 0.16 0.45 0.02 0.43 0.40 0.27 0.36 0.73 0.58 0.48 0.22 0.34 0.16 0.82 0.34 0.10 0.90 0.67 0.88 0.69 0.20 0.73 0.16 0.51 0.63 0.90 0.37 0.29]
  [0.73 0.04 0.07 0.69 0.21 0.71 0.60 0.87 0.18 0.73 0.54 0.19 0.32 0.80 0.62 0.11 0.30 0.64 0.57 0.63 1.00 0.77 0.23 0.61 0.66 0.50 0.21 0.02 0.04 0.24 0.99 0.83 0.55 0.90 0.99 0.18 0.27 0.51 0.28 0.37 0.94 0.82 0.74 0.62 0.41 0.45 0.30 0.24 0.78 0.05]
  [0.19 0.12 1.00 0.23 0.80 0.44 0.93 0.56 0.61 0.63 0.20 0.09 0.82 0.78 0.19 0.90 0.89 0.76 0.81 0.14 0.77 1.00 0.22 0.86 0.99 0.20 0.82 0.76 0.82 0.91 0.66 0.17 0.32 0.79 0.44 0.17 0.93 0.09 0.04 0.43 0.27 0.14 0.92 0.62 0.02 0.65 0.61 0.32 0.54 0.20]
  [0.72 0.21 0.64 0.58 0.71 0.49 0.39 0.30 0.66 0.71 0.25 0.22 0.25 0.82 0.24 0.49 0.31 0.24 0.14 0.16 0.23 0.22 1.00 0.06 0.33 0.18 0.47 0.75 0.24 0.61 0.51 0.42 0.37 0.58 0.89 0.47 0.56 0.11 0.07 0.48 0.34 0.85 0.66 0.12 0.13 0.41 0.60 0.87 0.97 0.63]
  [0.92 0.25 0.76 0.63 0.32 0.88 0.94 0.71 0.90 0.18 0.97 0.16 0.13 0.31 0.38 0.40 0.24 0.46 0.51 0.45 0.61 0.86 0.06 1.00 0.10 0.54 1.00 0.31 0.72 0.14 0.94 0.15 0.11 0.21 0.44 0.67 0.15 0.76 0.37 0.78 0.10 0.42 0.29 0.36 0.03 0.06 0.36 0.46 0.73 0.87]
  [0.82 0.59 0.48 0.86 0.21 0.54 0.63 0.91 0.32 0.27 0.65 0.22 0.30 0.66 0.39 0.98 0.93 0.09 0.93 0.02 0.66 0.99 0.33 0.10 1.00 0.45 0.97 0.64 0.63 0.20 0.41 0.94 0.74 0.74 0.65 0.56 0.84 0.14 0.22 0.53 0.99 0.30 0.75 0.73 0.58 1.00 0.19 0.18 0.20 0.33]
  [0.63 0.77 0.96 0.97 0.85 0.02 0.97 0.46 0.71 0.42 0.76 0.95 0.35 0.39 0.37 0.07 0.18 0.55 0.75 0.43 0.50 0.20 0.18 0.54 0.45 1.00 0.48 0.26 0.60 0.07 0.57 0.72 0.74 0.26 1.00 1.00 0.08 0.04 0.61 0.76 0.05 0.53 0.89 0.35 0.99 0.61 0.29 0.79 0.85 0.30]
  [0.90 0.95 0.79 0.27 0.09 0.23 0.56 0.29 0.46 0.31 0.52 0.43 0.17 0.84 0.67 0.14 0.34 0.86 0.13 0.40 0.21 0.82 0.47 1.00 0.97 0.48 1.00 0.29 0.47 0.18 0.40 0.54 0.51 0.57 0.47 0.35 0.32 0.95 0.36 0.70 0.27 0.74 0.76 0.97 0.84 0.09 0.34 0.32 0.99 0.03]
  [0.43 0.16 0.48 0.32 0.26 0.52 0.58 0.70 0.45 0.54 0.85 0.49 0.10 0.32 0.03 0.48 0.65 0.84 0.03 0.27 0.02 0.76 0.75 0.31 0.64 0.26 0.29 1.00 0.52 0.54 0.69 0.72 0.74 0.71 0.89 0.25 0.96 0.87 0.87 0.97 0.00 0.75 0.91 0.45 0.45 0.42 0.85 0.22 0.20 0.50]
