D,n,N,d,compatibility_total,mean_compatibility,committees,heuristic_name,localsearch,policy,nb_of_iteration,elapsed_time
2,"[3, 4]",10,"[1, 1, 2, 1, 2, 1, 2, 1, 2, 2]",12.53,0.6,"{8: 1, 9: 2, 1: 1, 3: 2, 10: 2, 7: 2, 6: 1}",GRASP,True,FirstImprovement,21832,30.0
2,"[4, 1]",10,"[1, 1, 1, 2, 1, 2, 1, 2, 2, 1]",6.46,0.65,"{1: 1, 9: 2, 2: 1, 3: 1, 5: 1}",GRASP,True,FirstImprovement,45313,30.0
2,"[2, 4]",10,"[2, 2, 1, 2, 1, 1, 2, 2, 1, 2]",8.73,0.58,"{1: 2, 10: 2, 8: 2, 2: 2, 5: 1, 9: 1}",GRASP,True,FirstImprovement,26260,30.0
2,"[1, 5]",10,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 1]",9.35,0.62,"{1: 1, 5: 2, 3: 2, 8: 2, 6: 2, 4: 2}",GRASP,True,FirstImprovement,21403,30.0
2,"[1, 5]",10,"[1, 2, 2, 2, 2, 2, 2, 2, 1, 1]",11.45,0.76,"{2: 2, 3: 2, 7: 2, 5: 2, 1: 1, 4: 2}",GRASP,True,FirstImprovement,16004,30.0
2,"[1, 2]",10,"[1, 2, 2, 2, 2, 2, 2, 2, 1, 1]",2.7,0.9,"{8: 2, 6: 2, 1: 1}",GRASP,True,FirstImprovement,29019,30.0
2,"[2, 2]",10,"[1, 1, 1, 2, 2, 2, 2, 1, 2, 2]",3.79,0.63,"{6: 2, 3: 1, 8: 1, 4: 2}",GRASP,True,FirstImprovement,31427,30.0
2,"[1, 2]",10,"[2, 1, 2, 1, 1, 1, 1, 1, 1, 2]",2.65,0.88,"{5: 1, 10: 2, 3: 2}",GRASP,True,FirstImprovement,46683,30.0
2,"[3, 3]",10,"[2, 1, 1, 1, 1, 2, 2, 1, 2, 2]",9.33,0.62,"{2: 1, 9: 2, 5: 1, 7: 2, 6: 2, 8: 1}",GRASP,True,FirstImprovement,13855,30.0
2,"[4, 1]",10,"[2, 1, 1, 2, 1, 1, 1, 1, 1, 1]",6.89,0.69,"{5: 1, 9: 1, 2: 1, 1: 2, 6: 1}",GRASP,True,FirstImprovement,12313,30.0
2,"[1, 7]",20,"[2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1]",18.68,0.67,"{3: 2, 12: 2, 14: 2, 2: 2, 4: 2, 1: 2, 10: 2, 19: 1}",GRASP,True,FirstImprovement,8444,30.0
2,"[6, 3]",20,"[2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 2]",20.49,0.57,"{1: 2, 7: 2, 11: 2, 4: 1, 19: 1, 2: 1, 5: 1, 12: 1, 17: 1}",GRASP,True,FirstImprovement,6295,30.0
3,"[2, 2, 2]",20,"[2, 1, 1, 2, 1, 1, 3, 2, 1, 2, 3, 2, 3, 3, 3, 3, 1, 1, 2, 1]",11.27,0.75,"{10: 2, 7: 3, 16: 3, 17: 1, 12: 2, 2: 1}",GRASP,True,FirstImprovement,5189,30.0
5,"[4, 3, 1, 2, 2]",20,"[4, 2, 2, 3, 5, 1, 1, 5, 1, 4, 1, 5, 2, 2, 1, 5, 4, 1, 1, 2]",42.28,0.64,"{5: 5, 19: 1, 3: 2, 1: 4, 4: 3, 7: 1, 20: 2, 13: 2, 10: 4, 6: 1, 11: 1, 16: 5}",GRASP,True,FirstImprovement,3515,30.0
3,"[5, 1, 4]",20,"[1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 3, 3, 2, 2, 3, 1, 1, 1, 1, 3]",26.43,0.59,"{14: 2, 10: 1, 19: 1, 2: 3, 4: 1, 12: 3, 17: 1, 11: 3, 18: 1, 3: 3}",GRASP,True,FirstImprovement,64454,30.0
5,"[1, 1, 1, 4, 2]",20,"[2, 1, 4, 2, 1, 4, 4, 2, 1, 4, 3, 4, 3, 1, 4, 4, 5, 4, 5, 5]",24.95,0.69,"{9: 1, 11: 3, 3: 4, 20: 5, 16: 4, 1: 2, 17: 5, 15: 4, 10: 4}",GRASP,True,FirstImprovement,5495,30.0
